State,State Results Website,Status,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,,,60.2%,59.3%,54.7%,138846571,136700729,230585915,250055734,8.4%,1456032,2254727,508576,3249802,4739596,
Alabama,http://www.alabamavotes.gov/downloads/election/2016/general/2016-Official-General-Election-Results-Certified-2016-11-29.pdf,Official,59.3%,59%,56.3%,2134061,2123372,3601361,3770142,2.6%,30627,56700,8138,71084,,AL
Alaska,http://www.elections.alaska.gov/results/16GENR/,Official,61.8%,61.3%,57.4%,321271,318608,519849,555367,4.3%,5338,7077,2210,11582,,AK
Arizona,http://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf,Official,56.2%,55%,48.9%,2661497,2604657,4734313,5331034,9.5%,38068,76005,7379,88770,,AZ
Arkansas,http://results.enr.clarityelections.com/AR/63912/182850/Web01/en/summary.html,Official,53.1%,52.8%,49.4%,1137772,1130635,2142571,2286625,3.8%,17405,28900,23093,56971,,AR
California,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-8-2016/statement-vote/,Official,58.4%,56.7%,47%,14610509,14181595,25017408,30201571,16.7%,129593,0,0,129593,,CA
Colorado,http://results.enr.clarityelections.com/CO/63746/182883/Web01/en/summary.html,Official,72.1%,70.1%,64.6%,2859216,2780247,3966297,4305728,7.2%,18708,0,10269,28977,,CO
Connecticut,http://ctemspublic.pcctg.net/#/home,Official,65.4%,64.2%,58.3%,1675955,1644920,2561555,2821935,8.6%,15247,0,2939,18186,,CT
Delaware,http://elections.delaware.gov/results/html/election.shtml,Official,64.6%,64.4%,59.2%,445228,443814,689125,749872,6%,6329,15646,425,15672,,DE
District of Columbia,https://www.dcboee.org/election_info/election_results/v3/2016/November-8-General-Election,Official,61.1%,60.9%,55.4%,312575,311268,511463,562329,9%,0,0,0,0,,DC
Florida,http://enight.elections.myflorida.com/FederalOffices/Presidential/,Official,65.7%,64.6%,56.9%,9580489,9420039,14572210,16565588,10.7%,94100,220769,4611,224549,,FL
Georgia,http://results.enr.clarityelections.com/GA/63991/182885/en/summary.html,Official,59.9%,59.2%,52.6%,4165405,4114732,6955436,7828207,7.1%,49718,432235,24130,320222,,GA
Hawaii,http://elections.hawaii.gov/wp-content/results/histatewide.pdf,Official,43%,42.2%,38.3%,437664,428937,1016971,1120465,8.7%,5795,0,0,5795,,HI
Idaho,http://www.sos.idaho.gov/elect/results/2016/General/statewide_totals.html,Official,60.9%,59.1%,55%,710545,690255,1167200,1253925,4.4%,7818,32898,4875,31445,,ID
Illinois,https://www.elections.il.gov/ElectionResults.aspx?ID=vlS7uG8NT%2f0%3d,Offiical,63.4%,61.9%,56.1%,5666118,5536424,8943045,9866799,8.9%,44539,0,0,44539,,IL
Indiana,http://www.in.gov/apps/sos/election/general/general2016,Official,57.9%,56.4%,54%,2807676,2734958,4852657,5063393,3.6%,26735,0,0,26735,,IN
Iowa,https://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabView=StateRaces^Federal%20/%20Statewide%20Races^86&ElectionID=86,Official,69%,68.4%,65.1%,1581371,1566031,2290215,2406915,3.5%,8658,29875,5918,31605,,IA
Kansas,http://www.kssos.org/elections/16elec/2016_General_Election_Official_Results.pdf,Official,59.7%,57.7%,54%,1225667,1184402,2051750,2192423,5.4%,9527,16588,4331,23313,,KS
Kentucky,http://elect.ky.gov/results/2010-2019/Documents/2016%20General%20Election%20Results.pdf,Offiical,59.7%,58.7%,56.1%,1955195,1924149,3276651,3430652,2.5%,21556,54049,16563,68927,,KY
Louisiana,https://voterportal.sos.la.gov/Graphical,Official,60.6%,60%,56.8%,2049531,2029032,3380951,3571652,2.8%,36238,40764,31187,90660,,LA
Maine,http://www.maine.gov/sos/cec/elec/results/results16-17.html#nov,Official,72.8%,70.5%,69.4%,771892,747927,1060905,1078037,1.6%,0,0,0,0,,ME
Maryland,http://elections.maryland.gov/elections/2016/results/General/gen_results_2016_4_001-.html,Official,67.2%,66.6%,59.5%,2807322,2781446,4176484,4670900,9%,20140,76505,10887,74635,,MD
Massachusetts,http://www.sec.state.ma.us/ele/elepdf/2016-Electors-Certification.pdf,Offiical,68.3%,67.2%,61.1%,3378801,3325046,4947241,5442458,8.9%,9303,0,0,9303,,MA
Michigan,http://miboecfr.nictusa.com/election/results/2016GEN_CENR.html,Official,65.7%,64.7%,62%,4874619,4799284,7423233,7744567,3.6%,41985,0,0,41985,,MI
Minnesota,http://www.sos.state.mn.us/elections-voting/2016-general-election-results/,Official,74.8%,74.2%,69.4%,2968281,2944813,3966155,4240423,4.7%,10316,98258,6808,73131,,MN
Mississippi,http://www.sos.ms.gov/Elections-Voting/Pages/2016-General-Election.aspx,Official,,55.6%,53.3%,,1209357,2176312,2268089,1.9%,18861,36333,8424,47995,,MS
Missouri,http://enr.sos.mo.gov/enrnet/default.aspx?eid=750003949,Official,62.3%,62.3%,59.6%,2811549,2808605,4511812,4710784,2.6%,31846,44876,17694,75119,,MO
Montana,http://mtelectionresults.gov/,Official,64.3%,61.8%,60.8%,516901,497147,804381,817702,1.2%,3667,0,0,3667,,MT
Nebraska,http://www.sos.ne.gov/elec/2016/pdf/2016-canvass-book.pdf,Official,63.8%,62.5%,58.8%,860573,844227,1349903,1436437,5.1%,5127,12626,1043,13367,,NE
Nevada,http://silverstateelection.com/,Official,57.3%,57.3%,49.4%,1125429,1125385,1964097,2276281,12.6%,12537,13724,5507,25867,,NV
New Hampshire,http://sos.nh.gov/2016GenResults.aspx,Official,72.5%,71.4%,69.1%,755850,744296,1042102,1076739,3%,2764,0,0,2764,,NH
New Jersey,http://www.state.nj.us/state/elections/2016-results/2016-official-general-results-president-1206b.pdf,Official,65.5%,64.1%,55.7%,3957303,3874046,6042792,6959892,11.6%,19214,136137,15180,111992,,NJ
New Mexico,http://electionresults.sos.state.nm.us/,Official,55.2%,54.8%,50.2%,804043,798319,1456551,1591069,7.3%,7013,15048,2888,18478,,NM
New York,http://www.elections.ny.gov/2016ElectionResults.html,Official,57.3%,56.8%,49.6%,7786881,7721453,13591250,15557982,12%,47506,0,44562,92068,,NY
North Carolina,http://er.ncsbe.gov/?election_dt=11/08/2016&county_id=0&office=FED&contest=0,Official,65.2%,64.8%,60.2%,4769640,4741564,7318442,7880013,5.9%,35194,85634,11744,95749,,NC
North Dakota,http://results.sos.nd.gov/resultsSW.aspx?text=Race&type=SW&map=CTY,Official,61.9%,60.9%,59.3%,349945,344360,565031,581188,2.5%,1772,0,0,1772,,ND
Ohio,https://vote.ohio.gov/,Official,64.2%,62.9%,61%,5607641,5496487,8737173,9007953,2.4%,51727,0,0,51727,,OH
Oklahoma,https://www.ok.gov/elections/support/20161108_seb.html,Official,,52.4%,49%,,1452992,2773970,2965905,4.8%,28538,31281,2116,48484,,OK
Oregon,http://sos.oregon.gov/elections/Documents/results/november-2016-results.pdf,Official,68.3%,66.4%,61.7%,2056310,2001336,3012502,3244277,6.7%,15075,0,0,15075,,OR
Pennsylvania,http://www.electionreturns.pa.gov/ENR_New/General/CountyBreakDownResults?officeId=1&districtId=1&ElectionID=undefined&ElectionType=undefined&IsActive=undefined,Official,,63.6%,61%,,6165478,9701644,10108486,3.5%,48752,0,0,48752,,PA
Rhode Island,http://www.ri.gov/election/results/2016/general_election/,Official,59.7%,59%,54.7%,469589,464144,786033,848975,7%,3196,0,0,3196,,RI
South Carolina,http://www.enr-scvotes.org/SC/64658/182853/en/summary.html,Official,57.3%,56.7%,54.2%,2123584,2103027,3706769,3883145,3.4%,20439,33843,5021,44751,,SC
South Dakota,https://sdsos.gov/elections-voting/assets/2016GeneralElectionOfficialStateCanvass.pdf,Official,59.9%,58.5%,56.6%,378995,370093,632989,653841,2.3%,3478,0,2611,6089,,SD
Tennessee,http://sos-tn-gov-files.s3.amazonaws.com/PresidentbyCountyNov2016.pdf,Official,,51.2%,48.6%,,2508027,4899384,5164969,3.7%,27901,62325,13093,76519,,TN
Texas,http://elections.sos.state.tx.us/elchist319_state.htm,Official,51.6%,51.6%,43.4%,8975000,8969226,17396296,20671564,13.5%,155413,378937,111892,483299,,TX
Utah,https://elections.utah.gov/election-resources/2016-election-information,Official,57.7%,56.7%,52.8%,1152369,1131430,1995987,2144784,6.7%,6142,0,0,6142,,UT
Vermont,https://vtelectionresults.sec.state.vt.us/Index.html#/state,Official,64.8%,63.7%,62.3%,320467,315067,494879,506048,2.2%,0,0,0,0,,VT
Virginia,http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Presidential.html,Official,,66.1%,60.8%,,3984631,6027262,6551390,6.9%,37701,54966,1576,70608,,VA
Washington,http://results.vote.wa.gov/results/current/,Final,65.7%,64.8%,58.3%,3363440,3317019,5121782,5691833,8.6%,17515,93535,11198,82028,,WA
