caseid,Q13,Q13_t,Q13_oe
311472839,5,2 hours,120
311335979,5,2 hours,120
311142865,5,2 hours including waiting to re-register,120
310824672,5,2 hours,120
310811540,5,1:15,75
310608873,5,1.5 hours,90
310606114,5,1.5 hours,90
310582159,5,90 minutes,90
310555478,5,Started in line at ~6:15pm. Checked in ~8pm. Voted ~8:45pm,105
310550181,5,"5 hours, and after all that they didnt let me vote",300
308715124,5,105 minutes,105
310406088,5,NA,
310202674,5,1:30,90
309895673,5,90 minutes,90
309892819,5,3 and 30 minutes,210
309764637,5,~90 minutes,90
309659560,5,2 hrs,120
309644218,5,75 minutes,75
309272924,5,2.5 hours,150
309556109,5,1.5 hrs,90
308922888,5,3 hours,180
309494902,5,90 min,90
309475996,5,3,180
309431887,5,2.5,150
309411828,5,Almost 2 hours,120
309334202,5,90 minutes,90
309328747,5,2 hrs,120
309306653,5,2 1/2 hours,150
309293823,5,2,120
309271782,5,2,120
309032127,5,2,120
309076108,5,NA,
309064805,5,1 HOUR 30 MINUTES,90
308970792,5,1 hour and 25 minutes,85
308993966,5,2.5 hours,150
308947295,5,1 hour and 30 minutes,90
308965054,5,72 minutes,72
308954900,5,2.5 hours,150
308928521,5,12:00 to 1:30,90
308949993,5,1:30,90
308868500,5,90 min,90
308958155,5,2 hours,120
308913273,5,1:30,90
308892276,5,One and a half,90
308712436,5,2 hours,120
308669939,5,2hours,120
308595789,5,2 hours,120
308526599,5,hour and a half,90
308561609,5,2 hours 47 min,167
308584194,5,2,120
308400562,5,90 minutes,90
308539307,5,1.5,90
306985888,5,Worked the poles,
308185993,5,2 hours,120
308472698,5,hour and a half,90
308262744,5,1.5 hours,90
308398337,5,2 hours,120
308438800,5,1 hour 10 min,70
308435920,5,"3-4 Hours, because we had to leave due to the bomb scare. They needed to investigate and make sure it was safe to re-enter.",210
308433129,5,1hr 15 min approx. got there way early still dark outside,75
307947520,5,1.5 hrs,90
308419704,5,1 hour 30 minutes,90
308417758,5,130,90
308411274,5,2 hours,120
308404801,5,abd hour and 15,75
308401539,5,1.25 hrs,75
308367738,5,90 minutes,90
308367766,5,5,300
308339965,5,1 and 1/2 hours,90
308339961,5,1 1/2,90
308293780,5,2 hrs,120
308275118,5,1.25 hours,75
308266646,5,78 minutes,78
308266651,5,2 hrs,120
308260207,5,1 hour 10 minutes,70
308232114,5,2 hours,120
307947380,5,1hr 20min,80
308212240,5,1 hour and 30 minutes,90
308211211,5,1:30,90
308197656,5,3,180
308194081,5,3 hours,180
308190026,5,1 Hour 15 Minutes,75
308171317,5,90 minutes,90
308150472,5,1hour 30 minutes,90
308140580,5,3 hours,180
307619022,5,2.5,150
308120470,5,2,120
308113225,5,2 hours,120
308101122,5,1 hr and 30 minutes,90
308089247,5,1hour 30minutes,90
307960830,5,curbside/handicap was ignored,
308086030,5,2 hr,120
308082557,5,90 minutes,90
308079030,5,"1 hour, 15 minutes",75
307816113,5,1 hour & 20 minutes,80
307947248,5,1 hour 15 minutes,75
307969115,5,1 1./2 hours,90
307445671,5,90 minutes,90
308042071,5,1hr. 10mins.,70
308039478,5,1 hour and 30 min,90
308039534,5,1.5 hrs machines down open late,90
307983178,5,90 min.,90
307955024,5,1 hour 30 minutes,90
307351323,5,75 minutes approx,75
308011616,5,3 hours,180
308007600,5,1 hour 20min,80
307998158,5,1 hr. 25 mins.,85
307992748,5,65 min,65
307979978,5,"2.5 hrs,",150
307979523,5,90 minutes,90
307962917,5,1 hour 15 minutes,75
307926556,5,"It was less than ten minutes until we found the name(s) not listed in \bool.\""	1	1	""__NA__",5
305827695,5,1 hour 15 minutes,75
307913864,5,2 hour,120
307903428,5,2 hours,120
307895359,5,2hrs,120
307888183,5,1 hour and 30 minutes,90
307878187,5,30min,30
307872699,5,1.5 hours+,90
307872317,5,1:15,75
307868711,5,1 hour 30 minutes,90
307858309,5,3 hours,180
307852882,5,1hr 30 min,90
307853597,5,2 hours,190
307852413,5,2 hours,190
307610974,5,one hour 15min,75
307852318,5,1+1/2,90
307836127,5,1.5 hours,90
307619430,5,2 hours,120
307836583,5,1 hour and 15 minutes,75
307626868,5,1:20,80
307832149,5,2 1/2 hours,150
307831750,5,about an hour and a quarter,75
307832141,5,3.5 HOURS,210
307831162,5,1.5 hours,90
307830295,5,1 hour 15 min.,75
307830393,5,2 hours,120
307824664,5,1 hour 20 minutes,80
307619068,5,130,90
307823087,5,2..5,150
307816414,5,1 hour 20 min,80
307195822,5,90 minutes,90
307810797,5,1 hour 15 min.,75
307811544,5,1:20,80
307808130,5,1.5 hrs,90
307804894,5,1 hour 15 minutes,75
307616538,5,2 hours,120
307791313,5,2 hours,120
307781967,5,1 1/2,90
307782909,5,1.5,90
307772362,5,4 hours,240
307202325,5,2,120
307761256,5,2 hours,120
307519886,5,1.75 hrs,165
307668709,5,Not applicable as I dropped ballot into box for early ballots,
307663331,5,2 hrs,120
307642629,5,1.5 hours,90
307604861,5,1 hour 23 minutes,83
307554811,5,1.25 hours,75
307554535,5,1.5 hr,90
