caseid,Q13,Q13_t,inputstate
311472839,5,2 hours,11
311335979,5,2 hours,11
311142865,5,2 hours including waiting to re-register,11
310824672,5,2 hours,38
310811540,5,1:15,1
310608873,5,1.5 hours,4
310606114,5,1.5 hours,18
310582159,5,90 minutes,38
310555478,5,Started in line at ~6:15pm. Checked in ~8pm. Voted ~8:45pm,11
310550181,5,"5 hours, and after all that they didnt let me vote",18
308715124,5,105 minutes,24
310406088,5,NA,55
310202674,5,1:30,5
309895673,5,90 minutes,11
309892819,5,3 and 30 minutes,22
309764637,5,~90 minutes,24
309659560,5,2 hrs,21
309644218,5,75 minutes,11
309272924,5,2.5 hours,11
309556109,5,1.5 hrs,11
308922888,5,3 hours,11
309494902,5,90 min,24
309475996,5,3,11
309431887,5,2.5,40
309411828,5,Almost 2 hours,18
309334202,5,90 minutes,11
309328747,5,2 hrs,25
309306653,5,2 1/2 hours,30
309293823,5,2,11
309271782,5,2,45
309032127,5,2,5
309076108,5,NA,18
309064805,5,1 HOUR 30 MINUTES,24
308970792,5,1 hour and 25 minutes,27
308993966,5,2.5 hours,31
308947295,5,1 hour and 30 minutes,5
308965054,5,72 minutes,24
308954900,5,2.5 hours,13
308928521,5,12:00 to 1:30,5
308949993,5,1:30,22
308868500,5,90 min,21
308958155,5,2 hours,45
308913273,5,1:30,27
308892276,5,One and a half,5
308712436,5,2 hours,40
308669939,5,2hours,26
308595789,5,2 hours,49
308526599,5,hour and a half,31
308561609,5,2 hours 47 min,25
308584194,5,2,48
308400562,5,90 minutes,40
308539307,5,1.5,24
306985888,5,Worked the poles,44
308185993,5,2 hours,29
308472698,5,hour and a half,22
308262744,5,1.5 hours,1
308398337,5,2 hours,45
308438800,5,1 hour 10 min,48
308435920,5,"3-4 Hours, because we had to leave due to the bomb scare. They needed to investigate and make sure it was safe to re-enter.",36
308433129,5,1hr 15 min approx. got there way early still dark outside,40
307947520,5,1.5 hrs,31
308419704,5,1 hour 30 minutes,21
308417758,5,130,28
308411274,5,2 hours,28
308404801,5,abd hour and 15,45
308401539,5,1.25 hrs,18
308367738,5,90 minutes,18
308367766,5,5,6
308339965,5,1 and 1/2 hours,40
308339961,5,1 1/2,24
308293780,5,2 hrs,45
308275118,5,1.25 hours,49
308266646,5,78 minutes,22
308266651,5,2 hrs,1
308260207,5,1 hour 10 minutes,32
308232114,5,2 hours,40
307947380,5,1hr 20min,40
308212240,5,1 hour and 30 minutes,11
308211211,5,1:30,5
308197656,5,3,18
308194081,5,3 hours,27
308190026,5,1 Hour 15 Minutes,5
308171317,5,90 minutes,16
308150472,5,1hour 30 minutes,32
308140580,5,3 hours,18
307619022,5,2.5,13
308120470,5,2,29
308113225,5,2 hours,6
308101122,5,1 hr and 30 minutes,45
308089247,5,1hour 30minutes,37
307960830,5,curbside/handicap was ignored,37
308086030,5,2 hr,44
308082557,5,90 minutes,45
308079030,5,"1 hour, 15 minutes",26
307816113,5,1 hour & 20 minutes,29
307947248,5,1 hour 15 minutes,24
307969115,5,1 1./2 hours,40
307445671,5,90 minutes,45
308042071,5,1hr. 10mins.,1
308039478,5,1 hour and 30 min,45
308039534,5,1.5 hrs machines down open late,32
307983178,5,90 min.,37
307955024,5,1 hour 30 minutes,31
307351323,5,75 minutes approx,5
308011616,5,3 hours,13
308007600,5,1 hour 20min,51
307998158,5,1 hr. 25 mins.,18
307992748,5,65 min,28
307979978,5,"2.5 hrs,",45
307979523,5,90 minutes,13
307962917,5,1 hour 15 minutes,45
307926556,5,"It was less than ten minutes until we found the name(s) not listed in \bool.\""	1	1	""__NA__",54
305827695,5,1 hour 15 minutes,18
307913864,5,2 hour,28
307903428,5,2 hours,37
307895359,5,2hrs,37
307888183,5,1 hour and 30 minutes,1
307878187,5,30min,45
307872699,5,1.5 hours+,11
307872317,5,1:15,13
307868711,5,1 hour 30 minutes,49
307858309,5,3 hours,34
307852882,5,1hr 30 min,40
307853597,5,2 hours,40
307852413,5,2 hours,32
307610974,5,one hour 15min,18
307852318,5,1+1/2,45
307836127,5,1.5 hours,40
307619430,5,2 hours,48
307836583,5,1 hour and 15 minutes,29
307626868,5,1:20,51
307832149,5,2 1/2 hours,13
307831750,5,about an hour and a quarter,44
307832141,5,3.5 HOURS,12
307831162,5,1.5 hours,6
307830295,5,1 hour 15 min.,22
307830393,5,2 hours,8
307824664,5,1 hour 20 minutes,45
307619068,5,130,42
307823087,5,2..5,24
307816414,5,1 hour 20 min,51
307195822,5,90 minutes,18
307810797,5,1 hour 15 min.,26
307811544,5,1:20,37
307808130,5,1.5 hrs,51
307804894,5,1 hour 15 minutes,48
307616538,5,2 hours,13
307791313,5,2 hours,29
307781967,5,1 1/2,45
307782909,5,1.5,37
307772362,5,4 hours,17
307202325,5,2,1
307761256,5,2 hours,26
307519886,5,1.75 hrs,48
307668709,5,Not applicable as I dropped ballot into box for early ballots,4
307663331,5,2 hrs,49
307642629,5,1.5 hours,40
307604861,5,1 hour 23 minutes,4
307554811,5,1.25 hours,13
307554535,5,1.5 hr,18
